id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
181223,2003,0,2003,2003,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Reuters,2003-11-08,Reuters""",Reuters,2003-11-08,Reuters,Defense Minister/Officials,1,San Bartolomé village,Junín region,Huancayo Province,-11.8401,-74.694,POINT (-74.694000 -11.840100),112531,Peru,135,PER,Americas,1,1,2003-11-07,2003-11-07,0,4,0,0,4,4,4
181213,2004,0,2004,2004,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Latin American Weekly Report,2004-06-08,Latin American Weekly Report""",Latin American Weekly Report,2004-06-08,Latin American Weekly Report,An official,1,Aguaytía town,Ucayali region,Padre Abad Province,-9.03778,-75.50906,POINT (-75.509060 -9.037780),116129,Peru,135,PER,Americas,1,1,2004-06-04,2004-06-04,3,0,0,0,3,3,3
181214,2004,0,2004,2004,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Latin American Weekly Report,2004-07-06,Latin American Weekly Report""",Latin American Weekly Report,2004-07-06,Latin American Weekly Report,"The army, the Defense Ministry",1,Huanta town,Ayacucho region,Huanta Province,-12.93333,-74.25,POINT (-74.250000 -12.933330),111092,Peru,135,PER,Americas,1,1,2004-06-24,2004-06-24,0,0,0,0,0,0,1
176025,2005,0,2005,2005,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,1,"""EFE,2005-01-26,EFE""",EFE,2005-01-26,EFE,The Lima daily Ojo,2,Pomacucho village,Huánuco region,Huánuco Province,-9.82578,-76.24845,POINT (-76.248450 -9.825780),115408,Peru,135,PER,Americas,1,1,2005-01-26,2005-01-26,0,0,0,0,0,0,6
181196,2006,0,2006,2006,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Reuters News,2006-02-20,Peru kills senior Shining Path rebel in jungle""""",Reuters News,2006-02-20,"Peru kills senior Shining Path rebel in jungle""",Officials,1,Tingo María town,Huánuco region,Leoncio Prado Province,-9.29616,-75.99831,POINT (-75.998310 -9.296160),116129,Peru,135,PER,Americas,1,1,2006-02-19,2006-02-19,0,1,0,0,1,1,1
176022,2006,0,2006,2006,3,607,Sendero Luminoso - Civilians,1074,Sendero Luminoso - Civilians,750,,Sendero Luminoso,1,,Civilians,1,"""EFE News Service,2006-03-08,Maoist rebels kill three in Peru""",EFE News Service,2006-03-08,Maoist rebels kill three in Peru,Authorities,1,Aucayacu town,Huánuco region,Leoncio Prado Province,-8.93139,-76.11315,POINT (-76.113150 -8.931390),116848,Peru,135,PER,Americas,1,1,2006-03-08,2006-03-08,0,0,3,0,3,3,3
181197,2006,0,2006,2006,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""EFE News Service,2006-12-17,Suspected guerrillas kill 5 police, 2 civilians in Peru""",EFE News Service,2006-12-17,"Suspected guerrillas kill 5 police, 2 civilians in Peru",Officials,1,Rosario village,Ayacucho region,La Mar Province,-12.677359,-73.82141,POINT (-73.821410 -12.677359),111093,Peru,135,PER,Americas,1,1,2006-12-17,2006-12-17,5,0,2,0,7,7,7
181186,2007,1,2007,2007,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""EFE News Service,2007-01-13,2 Dead in Shining Path attack on police station in Peru""",EFE News Service,2007-01-13,2 Dead in Shining Path attack on police station in Peru,police,1,Churcampa town,Huancavelica region,Churcampa Province,-12.7,-74.4,POINT (-74.400000 -12.700000),111092,Peru,135,PER,Americas,1,1,2007-01-12,2007-01-12,2,0,0,0,2,2,2
181187,2007,1,2007,2007,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Associated Press Writer,2007-03-21,3 suspected rebels killed, 2 soldiers wounded in clash in Peruvian jungle""",Associated Press Writer,2007-03-21,"3 suspected rebels killed, 2 soldiers wounded in clash in Peruvian jungle",the Joint Chiefs of Staff ,1,Huachocolpa town,Huancavelica region,Huancavelica Province,-13.02778,-74.94583,POINT (-74.945830 -13.027780),110371,Peru,135,PER,Americas,1,1,2007-03-21,2007-03-21,0,3,0,0,3,3,3
181189,2007,1,2007,2007,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""EFE News Service,2007-10-17,7 Die in clash between Peruvian army and guerrillas""",EFE News Service,2007-10-17,7 Die in clash between Peruvian army and guerrillas,the armed forces joint command ,2,Ayahuanco district,Ayacucho region,Huanta Province,-12.40531,-74.35632,POINT (-74.356320 -12.405310),111812,Peru,135,PER,Americas,1,1,2007-06-17,2007-06-17,0,7,0,0,7,7,7
181191,2007,1,2007,2007,1,292,Peru:Government,631,Government of Peru - Sendero Luminoso,21,135.0,Government of Peru,750,,Sendero Luminoso,1,"""Associated Press Newswires,2007-10-17,Peru army reports killing 7 suspected Shining Path rebels in drug-trafficking area""",Associated Press Newswires,2007-10-17,Peru army reports killing 7 suspected Shining Path rebels in drug-trafficking area,the armed forces said,1,Putis village,Ayacucho region,Huanta Province,-12.59329,-74.175375,POINT (-74.175375 -12.593290),111092,Peru,135,PER,Americas,1,1,2007-10-16,2007-10-16,0,7,0,0,7,7,7
